# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.609524          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.619048          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.628571          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.638095          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.647619          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.657143          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.666667          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.67619           	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.685714          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.695238          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.704762          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.714286          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.72381           	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.733333          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.742857          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.752381          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.761905          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.771429          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.780952          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.790476          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.8               	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.809091          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.818182          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.827273          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.836364          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.845455          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.854545          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.863636          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.872727          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.881818          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.890909          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.9               	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.909091          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.918182          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.927273          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.936364          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.945455          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.954545          	-1.2000000000e+01
# Region type :   patch inlet
# Faces           : 120
# Area            : 1.2000000000e+01
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
